Data from 'person_bbox.pkl':
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0445_0_normal.png: {'bbox': array([[234, 173, 407, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0390_0_normal.png: {'bbox': array([[229, 187, 408, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1290_0_normal.png: {'bbox': array([[237, 171, 403, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0140_0_normal.png: {'bbox': array([[228, 241, 383, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0805_0_normal.png: {'bbox': array([[241, 285, 416, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0330_0_normal.png: {'bbox': array([[229, 183, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1025_0_normal.png: {'bbox': array([[231, 193, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0155_0_normal.png: {'bbox': array([[242, 181, 401, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0580_0_normal.png: {'bbox': array([[245, 187, 415, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0025_0_normal.png: {'bbox': array([[231, 186, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0600_0_normal.png: {'bbox': array([[230, 272, 417, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0750_0_normal.png: {'bbox': array([[242, 284, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0650_0_normal.png: {'bbox': array([[241, 285, 399, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0230_0_normal.png: {'bbox': array([[231, 184, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0935_0_normal.png: {'bbox': array([[231, 192, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1260_0_normal.png: {'bbox': array([[237, 172, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1475_0_normal.png: {'bbox': array([[238, 315, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1390_0_normal.png: {'bbox': array([[232, 316, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1520_0_normal.png: {'bbox': array([[238, 315, 417, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0260_0_normal.png: {'bbox': array([[227, 186, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0045_0_normal.png: {'bbox': array([[227, 186, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
